Name,Gym,Weight,Rank,latitude,longitude
Aleksandar Rakić,American Top Team,Light Heavyweight,5,26.72796852,-80.21597394
Alex Pereira,Teixeira MMA & Fitness,Light Heavyweight,Champion,41.416772,-73.390839
Alex Perez,Syndicate MMA,Flyweight,6,36.056956,-115.245147
Alexa Grasso,Lobo Gym MMA,Women's Flyweight,Champion,20.57232357,-103.4527534
Alexander Volkanovski,Freestyle MMA,Featherweight,1,-34.52983623,150.8851348
Alexander Volkov,Global Fight Gym,Heavyweight,3,55.6955642,37.61780675
Alexandr Romanov,Lion Fight Acadamy,Heavyweight,13,47.0408724,28.79315211
Alexandre Pantoja,American Top Team,Flyweight,Champion,26.72796852,-80.21597394
Aljamain Sterling,Serra-Longo MMA,Featherweight,8,40.805805,-73.253616
Alonzo Menifield,Saekson Muay Thai,Light Heavyweight,15,34.27203589,-118.7656579
Amanda Lemos,Marajo Brothers,Women's Strawweight,5,-1.466562892,-48.47542709
Amanda Ribas,American Top Team,Women's Flyweight,9,26.72796852,-80.21597394
Amir Albazi,Xtreme Couture,Flyweight,3,36.226171,-115.323575
Angela Hill,Jackson Wink MMA,Women's Strawweight,9,35.08678511,-106.6422759
Anthony Hernandez,Marinoble's Martial Arts,Middleweight,14,38.71469121,-121.2885028
Anthony Smith,"Mick Doyle's Kickboxing - Omaha, NE",Light Heavyweight,11,41.29149244,-96.03178629
Ariane da Silva,American Top Team,Women's Flyweight,13,26.72796852,-80.21597394
Arman Tsarukyan,Syndicate MMA,Lightweight,1,36.056956,-115.245147
Arnold Allen,BKK / Tristar,Featherweight,5,13.68970625,100.7502555
Asu Almabayev,DAR Team,Flyweight,14,43.20671583,76.85695919
Azamat Murzakanov,MMA,Light Heavyweight,14,1,1
Belal Muhammad,"Roufusport, (Mikwaukee, WI) & Chicago Fight Team (Chicago, IL)",Welterweight,Champion,41.884636,-88.2049
Beneil Dariush,Kings MMA,Lightweight,7,33.7161,-117.999588
Benoît Saint Denis,Venum Training Camp Paris,Lightweight,12,48.74385346,2.359206637
Bogdan Guskov,American Top Team,Light Heavyweight,12,26.72796852,-80.21597394
Brandon Moreno,Fortis MMA,Flyweight,2,32.78733641,-96.78554577
Brandon Royval,Factory X,Flyweight,1,39.63047099,-105.011848
Brendan Allen,Sanford MMA,Middleweight,7,26.32257487,-80.11193155
Brian Ortega,Huntington Beach Ultimate Training Center,Featherweight,3,33.70500555,-117.9984101
Bruno Silva,Evolucao Thai,Flyweight,13,-25.35408863,-49.20627147
Bryce Mitchell,Barata MMA,Featherweight,13,35.25121474,-91.72310397
Caio Borralho,Combat Club,Middleweight,12,-23.530178,-46.659576
Calvin Kattar,Sityodtong - Boston,Featherweight,9,42.38768866,-71.0568
Carlos Ulberg,City Kickboxing,Light Heavyweight,10,-36.865604,174.75294
Casey O'Neill,Xtreme Couture,Women's Flyweight,15,36.226171,-115.323575
Charles Oliveira,Chute Boxe,Lightweight,2,-23.60238306,-46.68615895
Chelsea Chandler,Cesar Gracie Jiu-Jitsu,Women's Bantamweight,14,37.98658084,-121.9374198
Chris Curtis,Xtreme Couture,Middleweight,15,36.226171,-115.323575
Ciryl Gane,MMA Factory - Paris,Heavyweight,2,48.868455,2.283102
Cody Durden,American Top Team,Flyweight,15,26.72796852,-80.21597394
Colby Covington,MMA Masters,Welterweight,4,25.790915,-80.194434
Cory Sandhagen,High Altitude Martial Arts,Bantamweight,2,39.65206557,-104.8820279
Curtis Blaydes,Dutch Style MMA/ UFC Gym Lombard IL,Heavyweight,5,41.886932,-88.01974
Dan Hooker,City Kickboxing,Lightweight,11,-36.865604,174.75294
Dan Ige,Xtreme Couture,Featherweight,14,36.226171,-115.323575
Deiveson Figueiredo,Chute Boxe,Bantamweight,6,-23.60238306,-46.68615895
Derrick Lewis,4oz Fight Club,Heavyweight,11,29.95585439,-95.58599864
Diego Lopes,Lobo Gym MMA,Featherweight,12,20.57232357,-103.4527534
Dominick Cruz,Alliance Training Center,Bantamweight,13,32.847002,-116.962258
Dominick Reyes,Corba Kai,Light Heavyweight,13,34.47269465,-117.3398549
Dricus Du Plessis,Team CIT MMA,Middleweight,Champion,-25.74195436,28.24353087
Dustin Poirier,American Top Team,Lightweight,4,26.72796852,-80.21597394
Edson Barboza,Ricardo Almeida BJJ,Featherweight,15,40.2240597,-74.6073244
Erin Blanchfield,Renzo Gracie Academy,Women's Flyweight,3,40.74901844,-73.99337319
Geoff Neal,Fortis MMA,Welterweight,10,32.78733641,-96.78554577
Germaine de Randamie,CSA Holland,Women's Bantamweight,15,51.48127727,5.657705189
Giga Chikadze,Kings MMA,Featherweight,10,33.7161,-117.999588
Gilbert Burns,Sanford MMA,Welterweight,6,26.32257487,-80.11193155
Gillian Robertson,Goat Shed,Women's Strawweight,13,25.81033681,-80.19795877
Henry Cejudo,Fight Ready,Bantamweight,5,33.496822,-111.92618
Holly Holm,Jackson Wink MMA,Women's Bantamweight,7,35.08678511,-106.6422759
Ian Machado Garry,Chute Boxe,Welterweight,7,-23.60238306,-46.68615895
Iasmin Lucindo,Striker,Women's Strawweight,14,1,1
Ilia Topuria,Climent Club,Featherweight,Champion,38.36410212,-0.474362504
Irene Aldana,Lobo Gym MMA,Women's Bantamweight,4,20.57232357,-103.4527534
Islam Makhachev,American Kickboxing Academy,Lightweight,Champion,37.264671,-121.917046
Israel Adesanya,City Kickboxing,Middleweight,2,-36.865604,174.75294
Jéssica Andrade,PRVT Para Vale Tudo,Women's Flyweight,6,-4.046127836,-53.1382861
Jack Della Maddalena,Scrappy MMA,Welterweight,5,-32.0397391,115.88215
Jack Hermansson,Frontline Academy,Middleweight,9,59.9271348,10.72572884
Jailton Almeida,Galpao da Luta,Heavyweight,7,-12.99415121,-38.48974531
Jairzinho Rozenstruik,American Top Team,Heavyweight,12,26.72796852,-80.21597394
Jalin Turner,RVCA Training Center,Lightweight,13,33.63290011,-117.9382086
Jamahal Hill,Black Lion BJJ,Light Heavyweight,3,42.84320134,-85.67975043
Jan Błachowicz,WCA,Light Heavyweight,4,52.30238096,20.93406334
Jared Cannonier,ABJJ + Gracie Barra Alaska,Middleweight,5,61.17476197,-149.8905958
Jasmine Jasudavicius,Niagara Top Team,Women's Flyweight,14,43.669629,-79.386412
Jiří Procházka,JETSAAM GYM,Light Heavyweight,1,49.20596183,16.66168169
Joaquin Buckley,Murcielago MMA,Welterweight,11,42.74688729,-84.54569025
Johnny Walker,SBG Ireland,Light Heavyweight,9,53.33647107,-6.322290578
Jon Jones,Jackson Wink MMA,Heavyweight,Champion,35.08678511,-106.6422759
Jonathan Martinez,Factory X,Bantamweight,14,39.63047099,-105.011848
José Aldo,Nova Uniao,Bantamweight,8,-22.8132069,-43.57897
Josh Emmett,Team Alpha Male,Featherweight,7,38.55326537,-121.4255428
Julia Avila,Outsiders Combat Club,Women's Bantamweight,13,35.55000678,-97.51397044
Julianna Peña,"Sik-Jitsu Spokane, WA",Women's Bantamweight,1,47.65903,-117.42208
Justin Gaethje,Genesis Training Center,Lightweight,3,39.79167202,-105.1410552
Kai Kara-France,City Kickboxing,Flyweight,4,-36.865604,174.75294
Kamaru Usman,Genesis Training Center,Welterweight,2,39.79167202,-105.1410552
Karine Silva,"Gile Ribeiro - Curitiba, Brazil",Women's Flyweight,11,-25.43034523,-49.26036629
Karol Rosa,PRVT Para Vale Tudo,Women's Bantamweight,8,-4.046127836,-53.1382861
Karolina Kowalkiewicz,Gracie Barra Lodz,Women's Strawweight,15,52.238667,19.661135
Katlyn Cerminara,Renzo Gracie Academy,Women's Flyweight,7,40.74901844,-73.99337319
Kayla Harrison,American Top Team,Women's Bantamweight,3,26.72796852,-80.21597394
Ketlen Vieira,Nova Uniao,Women's Bantamweight,2,-22.8132069,-43.57897
Kevin Holland,Travis Lutter BJJ,Welterweight,15,32.71915214,-97.43719861
Khalil Rountree Jr.,Syndicate MMA,Light Heavyweight,8,36.056956,-115.245147
Khamzat Chimaev,Allstars Training Center,Middleweight,11,59.34866,18.048948
Kyler Phillips,The MMA Lab,Bantamweight,11,33.64263601,-112.1172716
Leon Edwards,"	Team Renegade",Welterweight,1,52.39588034,-1.992423394
Lerone Murphy,All Powers Gym,Featherweight,11,53.39571722,-2.150892964
Loopy Godinez,Lobo Gym MMA,Women's Strawweight,10,20.57232357,-103.4527534
Luana Pinheiro,Nova Uniao,Women's Strawweight,12,-22.8132069,-43.57897
Mackenzie Dern,Megaton Dias BJJ,Women's Strawweight,7,33.5815987,-112.0119644
Macy Chiasson,Fortis MMA,Women's Bantamweight,5,32.78733641,-96.78554577
Magomed Ankalaev,Xtreme Couture,Light Heavyweight,2,36.226171,-115.323575
Manel Kape,Xtreme Couture,Flyweight,9,36.226171,-115.323575
Manon Fiorot,Boxing Squad Nice,Women's Flyweight,2,43.71036278,7.194066414
Marcin Tybura,S4 Warszawa,Heavyweight,8,51.016884,21.116658
Marcos Rogerio de Lima,011 MMA TEAM,Heavyweight,14,-23.57241847,-46.64169203
Marina Rodriguez,Muay Thai,Women's Strawweight,6,1,1
Mario Bautista,The MMA Lab,Bantamweight,12,33.64263601,-112.1172716
Marlon Vera,RVCA Training Center,Bantamweight,4,33.63290011,-117.9382086
Marvin Vettori,Kings MMA,Middleweight,6,33.7161,-117.999588
Mateusz Gamrot,American Top Team,Lightweight,5,26.72796852,-80.21597394
Matheus Nicolau,Nova Uniao,Flyweight,8,-22.8132069,-43.57897
Matt Schnell,American Kickboxing Academy,Flyweight,11,37.264671,-121.917046
Max Holloway,Hawaii Elite MMA,Lightweight,9,21.3999581,-158.0007116
Maycee Barber,Team Alpha Male,Women's Flyweight,4,38.55326537,-121.4255428
Mayra Bueno Silva,American Top Team,Women's Bantamweight,6,26.72796852,-80.21597394
Merab Dvalishvili,Serra-Longo MMA,Bantamweight,1,40.805805,-73.253616
Michael Chandler,Sanford MMA,Lightweight,6,26.32257487,-80.11193155
Michael Page,London Shootfighters,Welterweight,14,51.54491212,-0.27327704
Michel Pereira,Xtreme Couture,Middleweight,13,36.226171,-115.323575
Miesha Tate,Xtreme Couture,Women's Bantamweight,9,36.226171,-115.323575
Montel Jackson,Pura Vida BJJ & MMA,Bantamweight,15,43.09210279,-87.90633845
Nassourdine Imavov,Venum Training Camp Paris,Middleweight,4,48.74385346,2.359206637
Natalia Silva,Team Borracha,Women's Flyweight,8,-19.93589311,-44.05171715
Neil Magny,High Altitude Martial Arts,Welterweight,12,39.65210687,-104.8820601
Nikita Krylov,Vale Tudo MMA,Light Heavyweight,6,54.72600995,25.29897927
Norma Dumont,Syndicate MMA,Women's Bantamweight,10,36.056956,-115.245147
Paddy Pimblett,NEXT Generation MMA,Lightweight,15,53.41079426,-2.969278271
Pannie Kianzad,Arte Suave,Women's Bantamweight,11,38.74401069,-77.21127959
Paulo Costa,Team Borracha,Middleweight,8,-19.93589311,-44.05171715
Petr Yan,Tiger Muay Thai,Bantamweight,3,7.882835,98.39086
Rafael Dos Anjos,Kings MMA,Lightweight,14,33.7161,-117.999588
Rafael Fiziev,Tiger Muay Thai,Lightweight,8,7.882835,98.39086
Raquel Pennington,Colorado Springs BJJ,Women's Bantamweight,Champion,39.60683,-105.940268
Renato Moicano,American Top Team,Lightweight,10,26.72796852,-80.21597394
Rob Font,Sityodtong - Boston,Bantamweight,9,42.38768866,-71.0568
Robert Whittaker,"PMA, Padstow NSW, Australia",Middleweight,3,-33.948677,151.029661
Rodrigo Nascimento,American Top Team,Heavyweight,15,26.72796852,-80.21597394
Roman Dolidze,Xtreme Couture,Middleweight,10,36.226171,-115.323575
Rose Namajunas,Genesis Training Center,Women's Flyweight,5,39.79167202,-105.1410552
Sean Brady,Renzo Gracie Philly,Welterweight,8,39.98535122,-75.13115046
Sean O'Malley,The MMA Lab,Bantamweight,Champion,33.64263601,-112.1172716
Sean Strickland,Xtreme Couture,Middleweight,1,36.226171,-115.323575
Sergei Pavlovich,Eagles MMA,Heavyweight,4,55.72600052,37.45371394
Serghei Spivac,MIR MMA,Heavyweight,9,55.90956056,37.86654874
Shavkat Rakhmonov,Sanford MMA,Welterweight,3,26.32257487,-80.11193155
Song Yadong,Team Alpha Male,Bantamweight,7,38.55326537,-121.4255428
Stephen Thompson,Upstate Karate Family Martial Arts Center,Welterweight,9,34.74091383,-82.27737718
Steve Erceg,Wilkes MMA,Flyweight,7,-32.04228127,115.8230376
Stipe Miocic,Strongstyle Fight Team,Heavyweight,6,41.41489923,-81.64389972
Tabatha Ricci,Black House MMA,Women's Strawweight,11,33.87664036,-118.353305
Tagir Ulanbekov,Eagles MMA,Flyweight,12,55.72600052,37.45371394
Tai Tuivasa,TK MMA,Heavyweight,10,-33.77765915,151.1700573
Tatiana Suarez,Millennia MMA,Women's Strawweight,1,34.100554,-117.545213
Tatsuro Taira,The Paraestra Okinawa,Flyweight,5,26.20185561,127.693132
Tim Elliott,Next Generation MMA,Flyweight,10,36.75332584,-90.39557513
Tom Aspinall,Team Kaobon,Heavyweight,1,53.44927092,-2.806006674
Tracy Cortez,Neuro Force One,Women's Flyweight,12,33.63763562,-111.8847552
Umar Nurmagomedov,Eagles MMA,Bantamweight,10,55.72600052,37.45371394
Valentina Shevchenko,Tiger Muay Thai,Women's Flyweight,1,7.882835,98.39086
Vicente Luque,Sanford MMA,Welterweight,13,26.32257487,-80.11193155
Virna Jandiroba,Fight House,Women's Strawweight,3,-23.58957787,-46.57835895
Viviane Araújo,Cerrado MMA,Women's Flyweight,10,-15.77467307,-47.87227881
Volkan Oezdemir,Allstars Training Center,Light Heavyweight,7,59.34866,18.048948
Yair Rodriguez,Izzystyle wrestling & VFS Chicago,Featherweight,4,41.91844052,-87.98901365
Yan Xiaonan,Team Alpha Male,Women's Strawweight,2,38.55326537,-121.4255428
Yana Santos,American Top Team,Women's Bantamweight,12,26.72796852,-80.21597394
Zhang Weili,Bangtao,Women's Strawweight,Champion,7.985935711,98.29165979